Customer_ID,Date,Narration,Cheque Reference Number,Value Date,Withdrawal Amount,Deposit Amount,Closing Balance
CUST_00000001,2025-01-01 08:37:36,UPI-Swiggy-swiggy.orders@@ybl-ICIC0000011-465605751383,465605751383,2025-01-01,4455.46,0.0,8932.14
CUST_00000001,2025-01-05 00:52:11,UPI-AmazonPay-amazonpay@@okicici-PAYTM0123456-423817167924,423817167924,2025-01-05,1877.58,0.0,7054.56
CUST_00000001,2025-01-08 15:44:02,UPI-DividendCredit-zerodha.payout@@ybl-HDFC0000060-456236992858,456236992858,2025-01-08,0.0,523.99,7578.55
CUST_00000001,2025-01-12 07:56:18,UPI-Refund-amazon.refunds@@ibl-PAYTM0123456-594127529513,594127529513,2025-01-12,0.0,5128.08,12706.63
CUST_00000001,2025-01-15 23:09:02,ATM-WDL-NFS-560843128106-MAIN BRANCH,560843128106,2025-01-15,3153.4,0.0,9553.23
CUST_00000001,2025-01-19 15:21:48,UPI-Refund-amazon.refunds@@ibl-PAYTM0123456-446410640317,446410640317,2025-01-19,0.0,8858.89,18412.12
CUST_00000001,2025-01-23 06:29:13,ATM-WDL-S1AC439848153993-SBI ATM TOWN CENTER,439848153993,2025-01-23,1380.18,0.0,17031.94
CUST_00000001,2025-01-26 21:48:58,UPI-Zepto-zepto.pay@@paytm-KKBK0000456-503477555473,503477555473,2025-01-26,1105.56,0.0,15926.38
CUST_00000001,2025-01-30 13:59:12,UPI-AirtelRecharge-airtel.bill@@okhdfcbank-SBIN0001234-597755113827,597755113827,2025-01-30,2932.24,0.0,12994.14
CUST_00000001,2025-02-03 05:19:50,ATM-WDL-S1AC550662299624-SBI ATM TOWN CENTER,550662299624,2025-02-03,1335.13,0.0,11659.01
CUST_00000001,2025-02-06 21:09:24,UPI-GrowwNextbill-groww.mf@@paytm-ICIC0000011-594099401516,594099401516,2025-02-06,582.13,0.0,11076.88
CUST_00000001,2025-02-10 12:21:33,ATM-WDL-NFS-480629714570-MAIN BRANCH,480629714570,2025-02-10,1429.86,0.0,9647.02
CUST_00000001,2025-02-14 04:41:09,UPI-Myntra-myntra.fashion@@okaxis-ICIC0000011-503513012944,503513012944,2025-02-14,2654.34,0.0,6992.68
CUST_00000001,2025-02-17 20:14:56,UPI-Blinkit-blinkit.commerce@@okaxis-UTIB0001001-444516615233,444516615233,2025-02-17,1265.84,0.0,5726.84
