Customer_ID,Date,Narration,Cheque Reference Number,Value Date,Withdrawal Amount,Deposit Amount,Closing Balance
CUST_00111111,2025-01-01 08:37:36,UPI-Swiggy-swiggy.orders@ybl-ICIC0000011-465605751383,465605751383,2025-01-01,24956.99,0.0,50043.01
CUST_00111111,2025-01-01 18:11:57,UPI-AmazonPay-amazonpay@okicici-PAYTM0123456-423817167924,423817167924,2025-01-01,10491.56,0.0,39551.45
CUST_00111111,2025-01-02 02:23:34,UPI-DividendCredit-zerodha.payout@ybl-HDFC0000060-456236992858,456236992858,2025-01-02,0.0,523.99,40075.44
CUST_00111111,2025-01-02 11:55:36,UPI-Refund-amazon.refunds@ibl-PAYTM0123456-594127529513,594127529513,2025-01-02,0.0,5128.08,45203.52
CUST_00111111,2025-01-02 20:28:06,ATM-WDL-NFS-560843128106-MAIN BRANCH,560843128106,2025-01-02,11206.96,0.0,33996.56
CUST_00111111,2025-01-03 06:00:38,UPI-Refund-amazon.refunds@ibl-PAYTM0123456-446410640317,446410640317,2025-01-03,0.0,8858.89,42855.45
CUST_00111111,2025-01-03 14:27:49,ATM-WDL-S1AC439848153993-SBI ATM TOWN CENTER,439848153993,2025-01-03,3196.78,0.0,39658.67
CUST_00111111,2025-01-03 23:07:20,UPI-Zepto-zepto.pay@paytm-KKBK0000456-503477555473,503477555473,2025-01-03,2558.0,0.0,37100.67
CUST_00111111,2025-01-04 08:37:20,UPI-AirtelRecharge-airtel.bill@okhdfcbank-SBIN0001234-597755113827,597755113827,2025-01-04,6821.21,0.0,30279.46
CUST_00111111,2025-01-04 17:17:44,ATM-WDL-S1AC550662299624-SBI ATM TOWN CENTER,550662299624,2025-01-04,3097.02,0.0,27182.44
CUST_00111111,2025-01-05 02:27:04,UPI-GrowwNextbill-groww.mf@paytm-ICIC0000011-594099401516,594099401516,2025-01-05,1340.03,0.0,25842.41
CUST_00111111,2025-01-05 10:58:59,ATM-WDL-NFS-480629714570-MAIN BRANCH,480629714570,2025-01-05,3323.19,0.0,22519.22
CUST_00111111,2025-01-05 20:38:21,UPI-Myntra-myntra.fashion@okaxis-ICIC0000011-503513012944,503513012944,2025-01-05,6191.76,0.0,16327.46
CUST_00111111,2025-01-06 05:31:54,UPI-Blinkit-blinkit.commerce@okaxis-UTIB0001001-444516615233,444516615233,2025-01-06,2945.94,0.0,13381.52
CUST_00111111,2025-01-06 14:16:29,UPI-UberIndia-uber.pay@ibl-HDFC0000060-590125222021,590125222021,2025-01-06,231.86,0.0,13149.66
CUST_00111111,2025-01-06 23:08:05,UPI-OlaCabs-olacabs@okicici-ICIC0000011-445676883939,445676883939,2025-01-06,797.26,0.0,12352.4
CUST_00111111,2025-01-07 07:33:25,UPI-DividendCredit-zerodha.payout@okaxis-HDFC0000060-505064607602,505064607602,2025-01-07,0.0,7534.22,19886.62
